timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-01-20,141.67,141.86,140.51,141.2,139.479320531758,7153341,0.0000,1.0
2023-01-19,140.0,142.23,139.75,140.62,138.906388478582,4833924,0.0000,1.0
2023-01-18,144.4,144.678,140.225,140.41,138.698947562777,6445642,0.0000,1.0
2023-01-17,146.42,147.18,145.01,145.19,143.420697932053,2986461,0.0000,1.0
2023-01-13,144.06,146.1,144.01,145.89,144.112167651403,2455786,0.0000,1.0
2023-01-12,144.88,146.66,144.52,145.55,143.776310930576,2716118,0.0000,1.0
2023-01-11,145.0,145.53,143.45,145.26,143.489844903988,3268738,0.0000,1.0
2023-01-10,143.61,144.85,142.9,144.8,143.035450516987,2152172,0.0000,1.0
2023-01-09,144.08,145.47,143.4,143.55,141.800683161004,3987782,0.0000,1.0
2023-01-06,142.38,144.25,141.58,143.7,141.948855243722,3574042,0.0000,1.0
2023-01-05,142.44,142.498,140.01,141.11,139.390417282127,2866648,0.0000,1.0
2023-01-04,142.07,143.615,141.3675,142.6,140.862259970458,3869236,0.0000,1.0
2023-01-03,141.1,141.9,140.48,141.55,139.825055391433,3338829,0.0000,1.0
2022-12-30,140.54,140.9,139.45,140.89,139.173098227474,2858110,0.0000,1.0
2022-12-29,140.58,142.26,140.45,141.06,139.341026587888,2337207,0.0000,1.0
2022-12-28,142.4,142.81,139.95,140.02,138.31370014771,2539577,0.0000,1.0
2022-12-27,141.73,142.72,141.23,142.42,140.684453471196,2742525,0.0000,1.0
2022-12-23,140.59,141.8565,139.6,141.65,139.923836779911,2092715,0.0000,1.0
2022-12-22,140.95,141.44,138.62,140.88,139.163220088626,3337851,0.0000,1.0
2022-12-21,141.84,143.09,140.975,142.14,140.407865583456,3793700,0.0000,1.0
2022-12-20,138.84,141.425,138.34,141.28,139.558345642541,5156450,0.0000,1.0
2022-12-19,140.16,140.44,137.195,138.87,137.177714180207,5282860,0.0000,1.0
2022-12-16,141.25,141.915,138.97,140.16,138.45199409158,9834427,0.0000,1.0
2022-12-15,148.52,148.98,141.58,142.36,140.625184638109,6687744,0.0000,1.0
2022-12-14,150.47,151.91,148.45,149.86,148.033788774003,4205878,0.0000,1.0
2022-12-13,150.37,153.21,149.95,150.57,148.735136632201,8811553,0.0000,1.0
2022-12-12,147.82,149.21,146.9426,149.21,147.391709748892,4032780,0.0000,1.0
2022-12-09,147.4,148.34,146.97,147.05,145.258031757755,3047581,0.0000,1.0
2022-12-08,147.9,149.153,147.365,147.78,145.979135893648,2665687,0.0000,1.0
2022-12-07,147.33,148.105,146.29,147.27,145.475350812408,3971285,0.0000,1.0
2022-12-06,147.3,147.8,146.7,147.5,145.702548005908,2847610,0.0000,1.0
2022-12-05,147.94,148.93,146.8,147.41,145.613644756278,2784767,0.0000,1.0
2022-12-02,148.13,149.16,147.73,148.67,146.858290251108,2899995,0.0000,1.0
2022-12-01,149.98,150.01,147.34,149.16,147.342319054653,4495924,0.0000,1.0
2022-11-30,146.19,149.64,145.67,148.9,147.085487444609,6377582,0.0000,1.0
2022-11-29,145.91,147.1668,145.7,146.49,144.704855982275,2754744,0.0000,1.0
2022-11-28,147.98,148.24,145.935,146.18,144.398633677991,3538696,0.0000,1.0
